Rk,Name,Age,Tm,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
622,Jose Lobaton\lobatjo01,36,CHC,13,0.107,-57,0,0,0.00%,38.50%,15.40%,90.4,50.00%,16.70%,66.70%,16.70%,2,33.30%,33.30%,33.30%,-0.1,-0.10%,-1.8,50%,,
623,Tim Locastro\locasti01,28,TOT,156,0.24,40,0.219,0.072,1.30%,21.20%,4.50%,81.2,16.80%,18.70%,42.10%,30.80%,0.75,25.50%,53.80%,20.80%,-0.8,-0.20%,-13.1,33%,63%,33%
624,Tim Locastro\locasti01,28,ARI,133,0.236,37,0.22,0.042,0.80%,19.60%,4.50%,81,16.30%,19.60%,41.30%,30.40%,0.73,23.10%,56.00%,20.90%,-0.6,-0.10%,-10.5,29%,63%,38%
625,Tim Locastro\locasti01,28,NYY,23,0.262,59,0.214,0.238,4.40%,30.40%,4.40%,82.4,20.00%,13.30%,46.70%,33.30%,0.88,40.00%,40.00%,20.00%,-0.2,-0.10%,-2.5,75%,,0%
626,Sammy Long\longsa01,25,SFG,11,0.09,-84,0.167,0,0.00%,36.40%,0.00%,72.8,14.30%,28.60%,57.10%,0.00%,2,0.00%,85.70%,14.30%,-0.1,-0.10%,-2.3,0%,,
627,Shed Long\longsh01,25,SEA,121,0.277,73,0.265,0.162,3.30%,32.20%,7.40%,86.3,35.60%,16.40%,61.60%,17.80%,1.73,26.00%,56.20%,17.80%,0.2,0.00%,-4.2,33%,100%,27%
628,Evan Longoria\longoev01,35,SFG,291,0.368,131,0.305,0.221,4.50%,23.40%,12.00%,94.1,54.50%,21.90%,41.20%,31.60%,0.7,26.20%,55.10%,18.70%,-0.1,-0.20%,9.7,36%,50%,39%
629,Tim Lopes\lopesti01,27,MIL,11,0.099,-31,0.167,0,0.00%,36.40%,9.10%,94.7,66.70%,33.30%,16.70%,33.30%,0.2,0.00%,66.70%,33.30%,-0.3,-0.20%,-1.7,50%,0%,
630,Alejo Lopez\lopezal03,25,CIN,23,0.23,18,0.333,0,0.00%,21.70%,0.00%,84.8,16.70%,22.20%,61.10%,16.70%,1.57,27.80%,61.10%,11.10%,-0.6,-0.50%,-4.2,50%,,0%
631,Jack Lopez\lopezja03,28,BOS,16,0.225,14,0.286,0.154,0.00%,37.50%,6.30%,74,11.10%,33.30%,22.20%,22.20%,0.4,22.20%,44.40%,33.30%,0,0.10%,-1.5,67%,,0%
632,Jorge Lopez\lopezjo02,28,BAL,2,0,-129,0,0,0.00%,50.00%,0.00%,75.6,0.00%,0.00%,100.00%,0.00%,,0.00%,100.00%,0.00%,-0.1,0.00%,-0.5,,,
633,Nicky Lopez\lopezni01,26,KCR,565,0.339,102,0.347,0.078,0.40%,13.10%,8.70%,84.3,27.00%,22.10%,53.20%,16.90%,1.27,22.90%,57.70%,19.50%,1.2,-0.30%,8.1,38%,96%,46%
634,Otto Lopez\lopezot01,22,TOR,1,0,-128,,0,0.00%,100.00%,0.00%,,,,,,,,,,0,0.00%,-0.1,,,
635,Pablo Lopez\lopezpa01,25,MIA,35,0.103,-68,0.125,0.061,0.00%,48.60%,0.00%,71.2,22.20%,22.20%,50.00%,11.10%,1.5,11.10%,77.80%,11.10%,-0.8,-0.40%,-9.1,100%,,0%
636,Michael Lorenzen\lorenmi01,29,CIN,1,0,-145,,0,0.00%,100.00%,0.00%,,,,,,,,,,0,0.00%,-0.1,,,
637,Brandon Lowe\lowebr01,26,TBR,615,0.366,140,0.28,0.277,6.30%,27.20%,11.10%,89,43.10%,24.80%,34.00%,32.90%,0.52,34.20%,46.60%,19.10%,3.2,1.90%,38.9,34%,88%,55%
638,Josh Lowe\lowejo01,23,TBR,2,0.864,410,1,0,0.00%,0.00%,50.00%,43.3,0.00%,0.00%,100.00%,0.00%,,0.00%,0.00%,100.00%,0.1,0.00%,0.8,0%,100%,
639,Nathaniel Lowe\lowena01,25,TEX,642,0.344,116,0.339,0.151,2.80%,25.20%,12.50%,90.8,45.50%,20.90%,54.50%,23.40%,1.2,18.10%,57.40%,24.40%,1.5,0.30%,16.3,27%,100%,32%
640,Jed Lowrie\lowrije01,37,OAK,512,0.318,103,0.289,0.153,2.70%,21.10%,9.60%,90.7,45.80%,24.90%,36.80%,32.60%,0.58,30.90%,52.70%,16.40%,1.8,1.40%,9.1,28%,,38%
641,Joey Lucchesi\lucchjo01,28,NYM,11,0.063,-83,0,0,0.00%,63.60%,9.10%,64.7,33.30%,0.00%,100.00%,0.00%,,0.00%,66.70%,33.30%,-0.2,-0.20%,-2,100%,,
642,Jonathan Lucroy\lucrojo01,35,TOT,23,0.351,118,0.4,0.053,0.00%,17.40%,13.00%,88.4,43.80%,25.00%,37.50%,18.80%,0.67,43.80%,37.50%,18.80%,-0.2,-0.10%,0.6,22%,,100%
643,Jonathan Lucroy\lucrojo01,35,WSN,14,0.339,112,0.417,0.071,0.00%,14.30%,0.00%,92.8,50.00%,33.30%,41.70%,16.70%,0.71,50.00%,33.30%,16.70%,-0.2,-0.10%,0.1,0%,,
644,Jonathan Lucroy\lucrojo01,35,ATL,9,0.373,128,0.333,0,0.00%,22.20%,33.30%,75.1,25.00%,0.00%,25.00%,25.00%,0.5,25.00%,50.00%,25.00%,0,0.00%,0.5,50%,,100%
645,Seth Lugo\lugose01,31,NYM,1,0.902,511,0,0,0.00%,0.00%,0.00%,22.8,0.00%,0.00%,0.00%,0.00%,,0.00%,100.00%,0.00%,0,0.00%,-0.4,,,
646,Jordan Luplow\luplojo01,27,TOT,193,0.339,118,0.232,0.252,5.70%,29.50%,14.50%,86.4,32.10%,14.20%,32.10%,39.60%,0.48,31.10%,52.80%,16.00%,0.4,0.20%,5.9,23%,33%,31%
647,Jordan Luplow\luplojo01,27,CLE,121,0.332,113,0.167,0.265,5.80%,25.60%,17.40%,87.3,34.30%,11.90%,31.30%,44.80%,0.47,28.40%,55.20%,16.40%,0.2,0.10%,5.4,15%,0%,36%
648,Jordan Luplow\luplojo01,27,TBR,72,0.351,128,0.343,0.231,5.60%,36.10%,9.70%,84.7,28.20%,17.90%,33.30%,30.80%,0.5,35.90%,48.70%,15.40%,0.2,0.10%,0.5,37%,100%,20%
649,Gavin Lux\luxga01,23,LAD,381,0.322,94,0.3,0.122,1.80%,21.80%,10.80%,89.8,40.20%,24.80%,46.90%,22.00%,0.88,30.70%,56.30%,13.00%,-0.3,-0.30%,3.5,36%,80%,69%
650,Jesus Luzardo\luzarje01,23,TOT,20,0.194,2,0,0,0.00%,30.00%,20.00%,66.8,0.00%,0.00%,70.00%,10.00%,7,0.00%,70.00%,30.00%,-0.2,0.00%,-2.2,25%,,0%
651,Jesus Luzardo\luzarje01,23,OAK,1,0,-121,0,0,0.00%,0.00%,0.00%,84.2,0.00%,0.00%,100.00%,0.00%,,0.00%,100.00%,0.00%,0,0.00%,-0.2,,,
652,Jesus Luzardo\luzarje01,23,MIA,19,0.205,9,0,0,0.00%,31.60%,21.10%,64.8,0.00%,0.00%,66.70%,11.10%,6,0.00%,66.70%,33.30%,-0.2,0.00%,-2,25%,,0%
653,Jordan Lyles\lylesjo01,30,TEX,6,0,-125,0,0,0.00%,83.30%,0.00%,79.6,0.00%,0.00%,100.00%,0.00%,,0.00%,100.00%,0.00%,-0.2,0.00%,-1.6,,,
654,Lance Lynn\lynnla01,34,CHW,5,0.178,-1,0.5,0,0.00%,60.00%,0.00%,83.6,0.00%,50.00%,50.00%,0.00%,1,0.00%,50.00%,50.00%,0,0.00%,-0.3,0%,,
655,Manny Machado\machama01,28,SDP,640,0.359,128,0.29,0.211,4.40%,15.90%,9.80%,93,52.30%,26.40%,39.30%,25.40%,0.65,27.10%,56.90%,16.10%,2,1.20%,29,33%,80%,41%
656,Vimael Machin\machivi01,27,OAK,37,0.159,-15,0.182,0,0.00%,27.00%,8.10%,82.6,25.00%,20.80%,41.70%,20.80%,0.91,16.70%,58.30%,25.00%,-0.3,-0.30%,-4.7,14%,,0%
657,Luis Madero\maderlu01,24,MIA,1,0,-131,0,0,0.00%,0.00%,0.00%,29.8,0.00%,0.00%,0.00%,0.00%,,0.00%,100.00%,0.00%,0,0.00%,-0.3,,,
658,Nick Madrigal\madrini01,24,CHW,215,0.354,125,0.324,0.12,0.90%,7.90%,5.10%,84.9,23.40%,23.90%,58.20%,14.70%,1.43,9.20%,63.60%,27.20%,0.1,0.00%,6.8,38%,33%,58%
659,Kenta Maeda\maedake01,33,MIN,4,0.297,81,0.5,0,0.00%,25.00%,0.00%,68.1,33.30%,0.00%,33.30%,0.00%,1,33.30%,66.70%,0.00%,0,0.00%,-0.3,200%,,100%
660,Tyler Mahle\mahlety01,26,CIN,66,0.091,-101,0.083,0,0.00%,28.80%,6.10%,73.9,18.60%,9.30%,58.10%,9.30%,2.78,11.60%,48.80%,39.50%,-1.3,-0.80%,-16.8,14%,,0%
661,Luke Maile\mailelu01,30,MIL,34,0.356,118,0.391,0.133,0.00%,20.60%,8.80%,79.6,26.10%,21.70%,69.60%,8.70%,2.29,30.40%,39.10%,30.40%,-0.2,-0.20%,0.8,46%,,50%
662,Martin Maldonado\maldoma01,34,HOU,426,0.266,61,0.221,0.129,2.80%,29.80%,11.00%,87.3,33.20%,23.50%,36.00%,32.40%,0.57,30.40%,52.60%,17.00%,-2.3,-1.40%,-24.1,27%,,24%
663,Sean Manaea\manaese01,29,OAK,5,0.507,271,0.667,0.25,0.00%,20.00%,0.00%,59,25.00%,25.00%,25.00%,0.00%,1,0.00%,50.00%,50.00%,0,0.00%,-0.5,0%,,0%
664,Trey Mancini\mancitr01,29,BAL,616,0.327,102,0.308,0.176,3.40%,23.20%,8.30%,88.9,42.10%,23.20%,49.00%,22.70%,0.96,26.30%,51.20%,22.50%,-0.3,-0.20%,-1.2,31%,,33%
665,Matt Manning\mannima02,23,DET,1,0,-122,,0,0.00%,100.00%,0.00%,,,,,,,,,,0,0.00%,-0.2,,,
666,Alek Manoah\manoaal01,23,TOR,1,0,-128,,0,0.00%,100.00%,0.00%,,,,,,,,,,-0.1,0.00%,-0.8,,,
667,Tucupita Marcano\marcatu01,21,SDP,50,0.222,40,0.229,0.023,0.00%,18.00%,12.00%,85.1,31.40%,17.10%,65.70%,17.10%,1.92,31.40%,48.60%,20.00%,-0.6,-0.40%,-6,50%,0%,60%
668,Rafael Marchan\marchra01,22,PHI,56,0.293,75,0.268,0.115,1.80%,17.90%,7.10%,83.8,19.00%,28.60%,40.50%,16.70%,0.68,19.00%,71.40%,9.50%,-0.1,-0.10%,-4.6,40%,,67%
669,Manuel Margot\margoma01,26,TBR,464,0.304,99,0.281,0.128,2.20%,15.10%,8.00%,87.3,40.30%,21.60%,46.90%,22.20%,0.9,23.60%,60.70%,15.70%,0.2,0.80%,-2.5,33%,62%,43%
670,Jake Marisnick\marisja01,30,TOT,198,0.291,73,0.306,0.159,2.50%,32.80%,5.60%,87.3,36.50%,30.40%,36.50%,20.00%,0.59,30.40%,47.80%,21.70%,-0.4,0.10%,0.4,31%,80%,50%
671,Jake Marisnick\marisja01,30,CHC,144,0.315,89,0.293,0.211,3.50%,29.90%,6.30%,87.7,42.00%,28.40%,38.60%,19.30%,0.64,26.10%,52.30%,21.60%,0.1,0.20%,7,32%,75%,50%
672,Jake Marisnick\marisja01,30,SDP,54,0.227,32,0.346,0.021,0.00%,40.70%,3.70%,85.9,18.50%,37.00%,29.60%,22.20%,0.44,44.40%,33.30%,22.20%,-0.5,-0.10%,-6.7,29%,100%,50%
673,Jose Marmolejos\marmojo01,28,SEA,122,0.256,60,0.203,0.151,3.30%,32.00%,12.30%,89.4,35.30%,25.00%,29.40%,30.90%,0.42,29.40%,50.00%,20.60%,-0.3,-0.20%,-6.8,25%,,30%
674,German Marquez\marquge01,26,COL,60,0.308,71,0.333,0.151,1.70%,21.70%,0.00%,73.3,23.40%,29.80%,31.90%,12.80%,0.68,19.10%,68.10%,12.80%,-0.2,-0.10%,-2.7,31%,,0%
675,Deven Marrero\marrede01,30,MIA,19,0.318,85,0.222,0.188,5.30%,31.60%,15.80%,78.5,10.00%,10.00%,40.00%,30.00%,0.67,10.00%,60.00%,30.00%,-0.3,0.00%,-2.2,60%,100%,
676,Brandon Marsh\marshbr02,23,LAA,260,0.3,81,0.403,0.102,0.80%,35.00%,7.70%,90.9,52.10%,33.30%,42.90%,21.10%,0.78,24.00%,56.20%,19.90%,-1.2,-0.10%,-8.3,31%,86%,60%
677,Ketel Marte\marteke01,27,ARI,374,0.39,143,0.352,0.215,3.70%,16.00%,8.30%,90.8,48.40%,26.30%,45.60%,19.90%,0.85,29.90%,49.10%,21.00%,0.4,0.10%,22.7,30%,100%,41%
678,Luis Marte\martelu02,27,MIA,7,0.214,20,0.25,0,0.00%,28.60%,14.30%,82.9,0.00%,25.00%,25.00%,0.00%,0.33,0.00%,25.00%,75.00%,0,0.00%,0,100%,,100%
679,Starling Marte\martest01,32,TOT,526,0.387,136,0.372,0.148,2.30%,18.80%,8.20%,86.7,39.60%,22.90%,54.70%,16.70%,1.25,25.10%,55.00%,19.90%,3.5,1.70%,34.6,41%,90%,65%
680,Starling Marte\martest01,32,MIA,275,0.391,136,0.376,0.146,2.60%,20.70%,11.60%,86,37.60%,22.50%,54.50%,16.30%,1.26,22.50%,60.70%,16.90%,1.9,0.60%,20,43%,88%,55%
681,Starling Marte\martest01,32,OAK,251,0.384,137,0.367,0.15,2.00%,16.70%,4.40%,87.4,41.50%,23.30%,54.90%,17.10%,1.25,27.50%,49.70%,22.80%,1.5,1.10%,14.5,38%,93%,80%
682,Corbin Martin\martico02,25,ARI,4,0.225,27,1,0,0.00%,75.00%,0.00%,94.4,0.00%,100.00%,0.00%,0.00%,0,0.00%,100.00%,0.00%,-0.1,0.00%,-0.7,0%,,
683,Jason Martin\martija03,25,TEX,154,0.261,58,0.245,0.146,3.90%,26.60%,5.20%,85.5,33.70%,20.00%,43.80%,21.90%,0.84,38.10%,45.70%,16.20%,-1.1,-0.20%,-5.2,25%,75%,44%
684,Richie Martin\martiri01,26,BAL,105,0.234,42,0.314,0.051,1.00%,26.70%,3.80%,82.6,29.20%,19.40%,48.60%,18.10%,1.09,20.80%,47.20%,31.90%,-0.7,0.00%,-10.4,30%,0%,38%
685,Carlos Martinez\martica04,29,STL,25,0.089,-68,0.222,0.042,0.00%,60.00%,0.00%,74.1,10.00%,20.00%,60.00%,10.00%,2,30.00%,70.00%,0.00%,-0.4,-0.30%,-4.8,50%,,0%
686,J.D. Martinez\martijd02,33,BOS,634,0.369,127,0.34,0.232,4.40%,23.70%,8.70%,92.1,49.40%,28.90%,34.10%,31.50%,0.52,24.70%,52.70%,22.60%,1.7,1.10%,22.7,33%,,46%
687,Nick Martini\martini02,31,CHC,45,0.28,73,0.345,0.027,0.00%,22.20%,13.30%,89.3,41.40%,27.60%,37.90%,20.70%,0.61,10.30%,69.00%,20.70%,-0.2,-0.20%,-3.4,25%,0%,50%
688,Jorge Mateo\mateojo01,26,TOT,209,0.295,79,0.324,0.129,1.90%,26.30%,4.30%,84.7,31.20%,27.00%,39.70%,22.70%,0.67,30.50%,55.30%,14.20%,-1.5,-0.80%,-8.6,26%,77%,46%
689,Jorge Mateo\mateojo01,26,SDP,93,0.273,59,0.276,0.115,2.20%,29.00%,2.20%,83.9,31.10%,24.60%,45.90%,19.70%,0.9,39.30%,52.50%,8.20%,-1.1,-0.80%,-7.6,38%,100%,25%
690,Jorge Mateo\mateojo01,26,BAL,116,0.313,94,0.359,0.14,1.70%,24.10%,6.00%,85.3,31.30%,28.80%,35.00%,25.00%,0.54,23.80%,57.50%,18.80%,-0.4,0.00%,-0.9,19%,63%,57%
691,Jeff Mathis\mathije01,38,ATL,9,0,-140,0,0,0.00%,55.60%,0.00%,74.5,0.00%,25.00%,25.00%,25.00%,0.5,25.00%,25.00%,50.00%,-0.2,-0.10%,-2.1,,,
692,Wyatt Mathisen\mathiwy01,27,ARI,51,0.239,37,0.19,0.071,2.00%,41.20%,9.80%,86.8,40.90%,31.80%,22.70%,18.20%,0.29,27.30%,50.00%,22.70%,-0.3,-0.20%,-2.1,17%,,100%
693,Nick Maton\matonni01,24,PHI,131,0.323,94,0.364,0.128,1.50%,29.80%,7.60%,86.9,35.00%,30.00%,32.50%,31.30%,0.49,31.30%,53.80%,15.00%,0.7,0.70%,3.2,35%,100%,27%
694,Phil Maton\matonph01,28,TOT,1,0,-127,0,0,0.00%,0.00%,0.00%,90.2,0.00%,0.00%,100.00%,0.00%,,0.00%,100.00%,0.00%,0,0.00%,-0.1,,,
695,Phil Maton\matonph01,28,CLE,1,0,-127,0,0,0.00%,0.00%,0.00%,90.2,0.00%,0.00%,100.00%,0.00%,,0.00%,100.00%,0.00%,0,0.00%,-0.1,,,
696,Steven Matz\matzst01,30,TOR,2,0,-128,0,0,0.00%,50.00%,0.00%,70.7,0.00%,0.00%,100.00%,0.00%,,0.00%,100.00%,0.00%,-0.1,0.00%,-0.5,,,
697,Dustin May\maydu01,23,LAD,4,0,-211,,0,0.00%,75.00%,0.00%,58.2,0.00%,0.00%,0.00%,0.00%,,0.00%,100.00%,0.00%,-0.1,-0.10%,-1.4,,,
698,Cameron Maybin\maybica01,34,NYM,33,0.139,-35,0.063,0,0.00%,36.40%,9.10%,84.9,37.50%,12.50%,62.50%,12.50%,2,43.80%,31.30%,25.00%,-0.4,-0.30%,-4.3,33%,100%,0%
699,Jack Mayfield\mayfija01,30,TOT,290,0.294,78,0.254,0.169,3.50%,23.50%,5.90%,83.4,27.10%,18.30%,38.10%,25.70%,0.65,28.20%,50.00%,21.80%,-0.5,-0.40%,-4.1,29%,100%,46%
700,Jack Mayfield\mayfija01,30,LAA,255,0.311,88,0.255,0.19,3.90%,22.80%,6.30%,83.6,28.00%,19.10%,37.10%,25.80%,0.62,29.20%,48.30%,22.50%,0,-0.10%,0.4,30%,100%,47%
701,Jack Mayfield\mayfija01,30,SEA,35,0.177,4,0.25,0.029,0.00%,28.60%,2.90%,81.4,20.80%,12.50%,45.80%,25.00%,0.92,20.80%,62.50%,16.70%,-0.5,-0.30%,-4.4,29%,,33%
702,Nomar Mazara\mazarno01,26,DET,181,0.268,67,0.271,0.109,1.70%,24.90%,8.30%,90.5,39.70%,23.10%,47.90%,24.00%,0.92,25.60%,55.40%,19.00%,-0.3,-0.10%,-3,19%,,46%
703,Patrick Mazeika\mazeipa01,27,NYM,87,0.238,40,0.23,0.076,1.20%,20.70%,4.60%,85.4,21.00%,27.40%,40.30%,17.70%,0.71,38.70%,43.50%,17.70%,-0.5,-0.20%,-5.7,24%,,20%
704,Ryan McBroom\mcbrory01,29,KCR,9,0.265,56,1,0,0.00%,66.70%,11.10%,83.6,0.00%,0.00%,100.00%,0.00%,,0.00%,100.00%,0.00%,0,0.00%,-0.7,33%,,50%
705,James McCann\mccanja02,31,NYM,412,0.282,73,0.304,0.117,2.40%,27.90%,7.80%,87.1,40.80%,20.20%,51.70%,24.00%,1.08,22.10%,58.20%,19.80%,-2.1,-1.60%,-14.1,17%,33%,21%
706,Jake McCarthy\mccarja02,23,ARI,70,0.311,91,0.324,0.153,2.90%,32.90%,11.40%,78.8,13.90%,5.40%,56.80%,35.10%,1.4,40.50%,43.20%,16.20%,-0.3,0.00%,-2.2,43%,60%,63%
707,Darren McCaughan\mccauda01,25,SEA,2,0,-121,0,0,0.00%,0.00%,0.00%,77.2,0.00%,0.00%,100.00%,0.00%,,50.00%,0.00%,50.00%,0,0.00%,-0.5,,,
708,Chas McCormick\mccorch01,26,HOU,320,0.331,106,0.341,0.19,4.40%,32.50%,7.80%,90.3,49.20%,20.90%,35.30%,40.10%,0.55,27.30%,52.40%,20.30%,1,0.40%,7.9,38%,67%,43%
709,Lance McCullers Jr.\mcculla02,27,HOU,4,0,-127,0,0,0.00%,75.00%,0.00%,88.4,0.00%,0.00%,100.00%,0.00%,,100.00%,0.00%,0.00%,-0.1,-0.10%,-1.6,,,0%
710,Andrew McCutchen\mccutan01,34,PHI,574,0.342,109,0.242,0.222,4.70%,23.00%,14.10%,88.8,39.60%,21.60%,40.90%,30.50%,0.69,37.50%,48.70%,13.70%,0.7,-0.10%,13.2,31%,86%,44%
711,Kyle McGowin\mcgowky01,29,WSN,1,0,-128,,0,0.00%,100.00%,0.00%,,,,,,,,,,0,0.00%,-0.2,,,
712,Reese McGuire\mcguire01,26,TOR,217,0.286,74,0.318,0.091,0.50%,20.30%,6.90%,86.3,32.90%,28.20%,39.70%,23.70%,0.69,27.60%,55.80%,16.70%,-1,-0.80%,-12.8,32%,,57%
713,Ryan McKenna\mckenry01,24,BAL,197,0.268,59,0.312,0.083,1.00%,37.60%,12.20%,85.3,34.00%,30.90%,44.30%,17.50%,0.83,23.70%,55.70%,20.60%,-0.6,-0.30%,-5,33%,100%,50%
714,Triston McKenzie\mckentr01,23,CLE,2,0.446,187,0.5,0,0.00%,0.00%,0.00%,95,50.00%,50.00%,50.00%,0.00%,1,0.00%,50.00%,50.00%,-0.1,0.00%,-0.7,0%,,
715,Billy McKinney\mckinbi01,26,TOT,300,0.28,65,0.235,0.166,3.00%,26.30%,10.70%,88.1,34.60%,23.40%,37.20%,32.40%,0.59,35.10%,46.30%,18.60%,-1.1,-0.80%,-12.2,31%,100%,29%
716,Billy McKinney\mckinbi01,26,MIL,100,0.267,53,0.242,0.152,3.00%,24.00%,7.00%,89.4,37.70%,30.40%,37.70%,26.10%,0.6,31.90%,53.60%,14.50%,-1.1,-0.80%,-11.6,26%,100%,29%
717,Billy McKinney\mckinbi01,26,NYM,102,0.333,106,0.273,0.253,4.90%,30.40%,10.80%,87.4,36.70%,21.70%,38.30%,28.30%,0.62,40.00%,43.30%,16.70%,0.4,0.40%,5,39%,100%,25%
718,Billy McKinney\mckinbi01,26,LAD,98,0.236,34,0.19,0.085,1.00%,24.50%,14.30%,87.2,28.80%,16.90%,35.60%,44.10%,0.55,33.90%,40.70%,25.40%,-0.4,-0.40%,-5.6,27%,,33%
719,Zach McKinstry\mckinza01,26,LAD,172,0.282,68,0.262,0.19,4.10%,29.10%,5.80%,87.6,35.10%,20.70%,42.30%,31.50%,0.76,34.20%,54.10%,11.70%,0.2,0.10%,2.5,32%,50%,39%
720,Ryan McMahon\mcmahry01,26,COL,596,0.338,95,0.306,0.195,3.90%,24.70%,9.90%,90.2,43.80%,27.70%,39.10%,28.00%,0.65,21.00%,56.00%,23.10%,1.5,0.20%,4.2,33%,75%,55%
721,Jeff McNeil\mcneije01,29,NYM,426,0.308,89,0.28,0.109,1.60%,13.60%,6.80%,88,33.60%,22.80%,46.50%,22.50%,0.87,25.80%,55.30%,18.80%,-2,-1.00%,-14.6,32%,100%,23%
722,Austin Meadows\meadoau01,26,TBR,591,0.331,117,0.249,0.224,4.60%,20.60%,10.00%,89.3,38.10%,23.80%,28.70%,36.90%,0.4,30.70%,51.70%,17.60%,2.1,1.60%,24.9,33%,57%,52%
723,John Means\meansjo01,28,BAL,5,0.246,45,0.333,0.2,0.00%,40.00%,0.00%,63.1,33.30%,0.00%,0.00%,33.30%,0,0.00%,100.00%,0.00%,-0.1,0.00%,-0.9,0%,,
724,Nick Mears\mearsni01,24,PIT,1,0,-131,,0,0.00%,100.00%,0.00%,,,,,,,,,,0,0.00%,-0.8,,,
725,Adonis Medina\medinad01,24,PHI,1,0,-132,,0,0.00%,100.00%,0.00%,,,,,,,,,,0,0.00%,-0.2,,,
726,Tylor Megill\megilty01,25,NYM,31,0.242,40,0.545,0.107,0.00%,54.80%,3.20%,81,46.20%,23.10%,61.50%,0.00%,2.67,7.70%,46.20%,46.20%,-0.3,-0.20%,-4.5,14%,,0%
727,Francisco Mejia\mejiafr01,25,TBR,277,0.322,110,0.299,0.156,2.20%,17.70%,6.10%,85,28.90%,22.10%,41.20%,23.00%,0.72,32.80%,49.00%,18.10%,-0.3,0.10%,6.1,30%,,37%
728,Humberto Mejia\mejiahu01,24,ARI,8,0.178,-21,0.2,0.143,0.00%,25.00%,0.00%,71.2,16.70%,50.00%,33.30%,0.00%,0.67,0.00%,83.30%,16.70%,-0.1,0.00%,-1.6,100%,,100%
729,J.C. Mejia\mejiaje02,24,CLE,1,0,-127,,0,0.00%,100.00%,0.00%,,,,,,,,,,0,0.00%,-0.1,,,
730,Mark Melancon\melanma01,36,SDP,1,,,,,0.00%,0.00%,0.00%,32.2,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,100.00%,0,0.00%,-0.2,,,
731,Danny Mendick\mendida01,27,CHW,186,0.265,62,0.281,0.067,1.10%,22.60%,9.70%,82,28.70%,24.20%,41.10%,21.00%,0.74,23.40%,54.80%,21.80%,-1,-0.40%,-4.8,22%,0%,47%
732,Oscar Mercado\mercaos01,26,CLE,238,0.316,93,0.253,0.145,2.50%,17.70%,8.80%,85.6,28.40%,19.70%,42.80%,23.70%,0.76,31.20%,50.30%,18.50%,-0.4,-0.20%,-0.7,32%,88%,36%
733,Yermin Mercedes\merceye01,28,CHW,262,0.331,108,0.309,0.133,2.70%,17.60%,7.60%,87.3,29.20%,23.10%,40.50%,28.20%,0.68,26.70%,50.30%,23.10%,-0.6,-0.60%,-0.3,24%,0%,32%
734,Jordy Mercer\mercejo03,34,WSN,127,0.303,87,0.341,0.11,1.60%,26.80%,7.10%,86.7,33.30%,33.30%,38.10%,19.00%,0.62,31.00%,47.60%,21.40%,-1.1,-0.20%,-4.1,30%,,25%
735,Whit Merrifield\merriwh01,32,KCR,720,0.321,88,0.309,0.117,1.40%,14.30%,5.60%,86.4,28.80%,26.70%,41.00%,25.80%,0.71,23.80%,53.50%,22.70%,0.7,0.40%,9.3,40%,91%,43%
736,Jake Meyers\meyerja02,25,HOU,163,0.335,106,0.352,0.178,3.70%,30.70%,6.10%,88.4,36.40%,29.30%,42.40%,24.20%,0.76,23.20%,58.60%,18.20%,0,0.10%,2,35%,100%,41%
737,Miles Mikolas\mikolmi01,32,STL,15,0.077,-183,0,0,0.00%,33.30%,6.70%,55.5,11.10%,22.20%,0.00%,0.00%,0,11.10%,55.60%,33.30%,-0.2,-0.10%,-3.2,0%,,
738,Wade Miley\mileywa01,34,CIN,59,0.211,1,0.244,0.056,0.00%,22.00%,5.10%,80.6,25.60%,20.90%,55.80%,9.30%,1.6,20.90%,46.50%,32.60%,-0.5,-0.30%,-7.9,69%,,29%
739,Brad Miller\millebr02,31,PHI,377,0.334,103,0.276,0.227,5.30%,29.70%,11.90%,92.1,47.90%,21.90%,44.30%,26.50%,0.8,27.10%,57.80%,15.10%,0,-0.40%,5.4,33%,100%,31%
740,Brian Miller\millebr03,25,MIA,11,0.228,30,0.375,0,0.00%,27.30%,0.00%,75.1,12.50%,25.00%,37.50%,25.00%,0.75,37.50%,37.50%,25.00%,0,0.00%,-0.2,33%,,
741,Owen Miller\milleow01,24,CLE,202,0.254,51,0.261,0.105,2.00%,26.70%,4.50%,86.3,33.10%,24.60%,55.80%,15.90%,1.26,23.90%,52.90%,23.20%,-1.1,-0.60%,-15.9,29%,100%,40%
742,Shelby Miller\millesh01,30,TOT,1,0,-131,0,0,0.00%,0.00%,0.00%,72.7,0.00%,0.00%,100.00%,0.00%,,100.00%,0.00%,0.00%,0,0.00%,-0.1,,,
743,Shelby Miller\millesh01,30,PIT,1,0,-131,0,0,0.00%,0.00%,0.00%,72.7,0.00%,0.00%,100.00%,0.00%,,100.00%,0.00%,0.00%,0,0.00%,-0.1,,,
744,Alec Mills\millsal02,29,CHC,36,0.039,-131,0.167,0.031,0.00%,72.20%,0.00%,67.2,10.00%,20.00%,30.00%,10.00%,1,10.00%,80.00%,10.00%,-0.7,-0.20%,-9.7,100%,,0%
